Batting Position,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Key
3 , 29 ," 1,744 "," 3,025 ", 26 , 67.1 , 57.7 , 215 , 5 , 8 , 202 , 9 , 68.9 ,SPD+Smith
4 , 85 ," 4,995 "," 9,210 ", 74 , 67.5 , 54.2 , 239 , 23 , 16 , 535 , 23 , 71.1 ,SPD+Smith
5 , 26 ," 1,258 "," 2,419 ", 22 , 57.2 , 52.0 , 162 , 6 , 4 , 148 , 12 , 74.6 ,SPD+Smith
6 , 14 , 325 , 708 , 13 , 25.0 , 45.9 , 100 , 1 , 1 , 30 , 2 , 75.8 ,SPD+Smith
7 , 3 , 121 , 215 , 2 , 60.5 , 56.3 , 54 , 1 , 0 , 16 , 0 , 73.5 ,SPD+Smith
8 , 3 , 88 , 115 , 3 , 29.3 , 76.5 , 77 , 1 , 0 , 11 , 2 , 67.8 ,SPD+Smith
9 , 1 , 12 , 17 , 1 , 12.0 , 70.6 , 12 , 0 , 0 , 1 , 0 , 52.9 ,SPD+Smith
Total,161,"8,543","15,709",141,60.6,54.4,239,37,29,943,48,71.4,SPD+Smith
None , 2 , 31 , 59 , 0 , - , 52.5 , 20 , 0 , 0 , 6 , 0 , 78.0 ,V+Kohli
3 , 6 , 97 , 175 , 5 , 19.4 , 55.4 , 41 , 0 , 0 , 13 , 0 , 73.1 ,V+Kohli
4 , 130 ," 6,536 "," 11,418 ", 122 , 53.6 , 57.2 , 254 , 19 , 23 , 729 , 17 , 68.8 ,V+Kohli
5 , 29 ," 1,021 "," 2,153 ", 27 , 37.8 , 47.4 , 107 , 6 , 3 , 122 , 5 , 75.1 ,V+Kohli
6 , 9 , 404 , 783 , 9 , 44.9 , 51.6 , 116 , 3 , 1 , 41 , 2 , 72.4 ,V+Kohli
7 , 1 , 11 , 21 , 1 , 11.0 , 52.4 , 11 , 0 , 0 , 1 , 0 , 66.7 ,V+Kohli
Total,177,"8,100","14,609",164,49.4,55.4,254,28,27,912,24,70.0,V+Kohli
3 , 135 ," 6,950 "," 13,203 ", 121 , 57.4 , 52.6 , 251 , 30 , 23 , 784 , 18 , 72.9 ,KS+Williamson
4 , 3 , 126 , 342 , 2 , 63.0 , 36.8 , 102 , 0 , 1 , 12 , 0 , 80.4 ,KS+Williamson
5 , 8 , 202 , 494 , 8 , 25.2 , 40.9 , 77 , 1 , 0 , 22 , 0 , 78.7 ,KS+Williamson
6 , 7 , 278 , 697 , 7 , 39.7 , 39.9 , 131 , 2 , 1 , 26 , 0 , 76.8 ,KS+Williamson
7 , 2 , 12 , 37 , 2 , 6.0 , 32.4 , 8 , 0 , 0 , 0 , 0 , 75.7 ,KS+Williamson
Total,155,"7,568","14,773",140,54.1,51.2,251,33,25,844,18,73.5,KS+Williamson
None , 2 , 172 , 239 , 0 , - , 72.0 , 141 , 0 , 1 , 23 , 1 , 63.2 ,JE+Root
2 , 11 , 417 ," 1,012 ", 10 , 41.7 , 41.2 , 180 , 2 , 1 , 48 , 2 , 79.1 ,JE+Root
3 , 59 ," 2,222 "," 4,259 ", 55 , 40.4 , 52.2 , 254 , 14 , 4 , 234 , 2 , 70.6 ,JE+Root
4 , 121 ," 5,746 "," 9,810 ", 112 , 51.3 , 58.6 , 228 , 29 , 16 , 659 , 16 , 68.3 ,JE+Root
5 , 31 ," 1,830 "," 3,106 ", 28 , 65.4 , 58.9 , 200 , 8 , 6 , 200 , 6 , 69.8 ,JE+Root
6 , 8 , 241 , 649 , 8 , 30.1 , 37.1 , 77 , 2 , 0 , 22 , 1 , 79.7 ,JE+Root
7 , 1 , 0 , 2 , 0 , - , 0.0 , 0 , 0 , 0 , 0 , 0 , 100.0 ,JE+Root
Total,233,"10,628","19,077",213,49.9,55.7,254,55,28,"1,186",28,70.0,JE+Root
