Inning,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Key
1 , 54 ," 4,214 "," 7,980 ", 47 , 89.7 , 52.8 , 215 , 11 , 19 , 467 , 25 , 72.1 ,SPD+Smith
2 , 36 ," 1,945 "," 3,668 ", 34 , 57.2 , 53.0 , 239 , 10 , 6 , 218 , 10 , 72.5 ,SPD+Smith
3 , 48 ," 1,794 "," 2,862 ", 40 , 44.8 , 62.7 , 142 , 12 , 4 , 195 , 11 , 66.9 ,SPD+Smith
4 , 23 , 590 ," 1,199 ", 20 , 29.5 , 49.2 , 97 , 4 , 0 , 63 , 2 , 74.3 ,SPD+Smith
Total,161,"8,543","15,709",141,60.6,54.4,239,37,29,943,48,71.4,SPD+Smith
1 , 61 ," 2,886 "," 5,097 ", 60 , 48.1 , 56.6 , 254 , 9 , 8 , 339 , 4 , 69.3 ,V+Kohli
2 , 41 ," 2,667 "," 4,731 ", 40 , 66.7 , 56.4 , 235 , 4 , 14 , 294 , 10 , 69.6 ,V+Kohli
3 , 50 ," 1,578 "," 3,112 ", 46 , 34.3 , 50.7 , 104 , 8 , 3 , 165 , 7 , 71.8 ,V+Kohli
4 , 25 , 969 ," 1,669 ", 20 , 48.4 , 58.1 , 141 , 7 , 2 , 114 , 3 , 70.5 ,V+Kohli
Total,177,"8,100","14,609",166,48.8,55.4,254,28,27,912,24,70.0,V+Kohli
1 , 45 ," 2,023 "," 4,118 ", 45 , 45.0 , 49.1 , 251 , 7 , 7 , 227 , 6 , 75.5 ,KS+Williamson
2 , 44 ," 2,957 "," 5,363 ", 40 , 73.9 , 55.1 , 238 , 11 , 11 , 342 , 8 , 71.1 ,KS+Williamson
3 , 45 ," 1,824 "," 3,951 ", 40 , 45.6 , 46.2 , 242 , 11 , 4 , 188 , 2 , 75.1 ,KS+Williamson
4 , 21 , 764 ," 1,341 ", 15 , 50.9 , 57.0 , 108 , 4 , 3 , 87 , 2 , 72.1 ,KS+Williamson
Total,155,"7,568","14,773",140,54.1,51.2,251,33,25,844,18,73.5,KS+Williamson
1 , 70 ," 3,240 "," 5,656 ", 69 , 47.0 , 57.3 , 254 , 14 , 9 , 360 , 5 , 69.5 ,JE+Root
2 , 57 ," 3,225 "," 5,648 ", 52 , 62.0 , 57.1 , 228 , 13 , 11 , 374 , 10 , 69.8 ,JE+Root
3 , 65 ," 2,794 "," 4,808 ", 61 , 45.8 , 58.1 , 180 , 22 , 6 , 296 , 10 , 67.8 ,JE+Root
4 , 41 ," 1,369 "," 2,965 ", 33 , 41.5 , 46.2 , 141 , 6 , 2 , 156 , 3 , 74.8 ,JE+Root
Total,233,"10,628","19,077",215,49.4,55.7,254,55,28,"1,186",28,70.0,JE+Root
