Match Result,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Key
DRAW , 21 ," 1,733 "," 3,327 ", 18 , 96.3 , 52.1 , 192 , 8 , 7 , 181 , 9 , 70.9 ,SPD+Smith
LOSS , 56 ," 1,735 "," 3,523 ", 53 , 32.7 , 49.2 , 145 , 9 , 3 , 196 , 10 , 74.6 ,SPD+Smith
WIN , 84 ," 5,075 "," 8,859 ", 70 , 72.5 , 57.3 , 239 , 20 , 19 , 566 , 29 , 70.3 ,SPD+Smith
Total,161,"8,543","15,709",141,60.6,54.4,239,37,29,943,48,71.4,SPD+Smith
DRAW , 27 ," 1,631 "," 2,880 ", 24 , 68.0 , 56.6 , 243 , 5 , 7 , 178 , 6 , 69.0 ,V+Kohli
LOSS , 60 ," 2,141 "," 4,198 ", 60 , 35.7 , 51.0 , 153 , 8 , 7 , 247 , 5 , 73.7 ,V+Kohli
WIN , 90 ," 4,328 "," 7,531 ", 82 , 52.8 , 57.5 , 254 , 15 , 13 , 487 , 13 , 68.4 ,V+Kohli
Total,177,"8,100","14,609",166,48.8,55.4,254,28,27,912,24,70.0,V+Kohli
DRAW , 35 ," 1,935 "," 4,053 ", 29 , 66.7 , 47.7 , 200 , 6 , 8 , 209 , 5 , 74.9 ,KS+Williamson
LOSS , 58 ," 1,445 "," 3,231 ", 57 , 25.4 , 44.7 , 140 , 8 , 2 , 172 , 1 , 78.1 ,KS+Williamson
WIN , 62 ," 4,188 "," 7,489 ", 54 , 77.6 , 55.9 , 251 , 19 , 15 , 463 , 12 , 70.7 ,KS+Williamson
Total,155,"7,568","14,773",140,54.1,51.2,251,33,25,844,18,73.5,KS+Williamson
DRAW , 42 ," 2,117 "," 4,162 ", 36 , 58.8 , 50.9 , 226 , 9 , 7 , 215 , 4 , 71.7 ,JE+Root
LOSS , 94 ," 2,876 "," 6,038 ", 91 , 31.6 , 47.6 , 180 , 24 , 1 , 334 , 0 , 74.5 ,JE+Root
WIN , 97 ," 5,635 "," 8,877 ", 88 , 64.0 , 63.5 , 254 , 22 , 20 , 637 , 24 , 66.1 ,JE+Root
Total,233,"10,628","19,077",215,49.4,55.7,254,55,28,"1,186",28,70.0,JE+Root
