Versus Player,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Key
A Nortje , 2 , 19 , 35 , 2 , 9.5 , 54.3 , 12 , 0 , 0 , 3 , 0 , 71.4 ,SPD+Smith
A Phillip , 1 , 2 , 3 , 0 , - , 66.7 , 2 , 0 , 0 , 0 , 0 , 33.3 ,SPD+Smith
AD Mathews , 2 , 6 , 22 , 0 , - , 27.3 , 4 , 0 , 0 , 0 , 0 , 81.8 ,SPD+Smith
AS Joseph , 2 , 27 , 41 , 1 , 27.0 , 65.9 , 27 , 0 , 0 , 4 , 0 , 65.9 ,SPD+Smith
Asad Shafiq , 1 , 0 , 2 , 0 , - , 0.0 , 0 , 0 , 0 , 0 , 0 , 100.0 ,SPD+Smith
Azhar Ali , 6 , 29 , 46 , 0 , - , 63.0 , 10 , 0 , 0 , 0 , 0 , 52.2 ,SPD+Smith
B Kumar , 6 , 63 , 110 , 2 , 31.5 , 57.3 , 22 , 0 , 0 , 8 , 0 , 70.9 ,SPD+Smith
BA Stokes , 18 , 321 , 490 , 3 , 107.0 , 65.5 , 40 , 0 , 0 , 45 , 0 , 67.1 ,SPD+Smith
Babar Azam , 1 , 2 , 5 , 0 , - , 40.0 , 2 , 0 , 0 , 0 , 0 , 60.0 ,SPD+Smith
C de Grandhomme , 3 , 19 , 100 , 1 , 19.0 , 19.0 , 9 , 0 , 0 , 1 , 0 , 85.0 ,SPD+Smith
C Overton , 4 , 99 , 161 , 1 , 99.0 , 61.5 , 50 , 1 , 0 , 11 , 0 , 65.8 ,SPD+Smith
CAK Rajitha , 1 , 21 , 51 , 0 , - , 41.2 , 21 , 0 , 0 , 2 , 0 , 72.5 ,SPD+Smith
CJ Anderson , 1 , 12 , 32 , 0 , - , 37.5 , 12 , 0 , 0 , 1 , 0 , 71.9 ,SPD+Smith
CR Brathwaite , 2 , 29 , 42 , 0 , - , 69.0 , 18 , 0 , 0 , 1 , 0 , 61.9 ,SPD+Smith
CR Woakes , 15 , 268 , 483 , 4 , 67.0 , 55.5 , 46 , 0 , 0 , 37 , 1 , 72.9 ,SPD+Smith
CT Tremlett , 7 , 70 , 121 , 4 , 17.5 , 57.9 , 19 , 0 , 0 , 8 , 0 , 73.6 ,SPD+Smith
D Bishoo , 1 , 10 , 19 , 1 , 10.0 , 52.6 , 10 , 0 , 0 , 1 , 0 , 68.4 ,SPD+Smith
D Elgar , 4 , 22 , 41 , 2 , 11.0 , 53.7 , 20 , 0 , 0 , 0 , 1 , 63.4 ,SPD+Smith
DAJ Bracewell , 6 , 76 , 133 , 0 , - , 57.1 , 33 , 0 , 0 , 9 , 1 , 73.7 ,SPD+Smith
Danish Kaneria , 4 , 46 , 43 , 2 , 23.0 , 107.0 , 33 , 0 , 0 , 6 , 2 , 60.5 ,SPD+Smith
DC Thomas , 1 , 0 , 5 , 0 , - , 0.0 , 0 , 0 , 0 , 0 , 0 , 100.0 ,SPD+Smith
DJ Malan , 4 , 35 , 75 , 0 , - , 46.7 , 13 , 0 , 0 , 2 , 0 , 64.0 ,SPD+Smith
DM de Silva , 2 , 9 , 18 , 0 , - , 50.0 , 6 , 0 , 0 , 0 , 0 , 50.0 ,SPD+Smith
DW Steyn , 3 , 27 , 62 , 1 , 27.0 , 43.5 , 16 , 0 , 0 , 5 , 0 , 80.6 ,SPD+Smith
Faheem Ashraf , 1 , 10 , 23 , 0 , - , 43.5 , 10 , 0 , 0 , 2 , 0 , 82.6 ,SPD+Smith
GP Swann , 16 , 159 , 291 , 3 , 53.0 , 54.6 , 34 , 0 , 0 , 8 , 5 , 69.8 ,SPD+Smith
Hasan Ali , 3 , 19 , 73 , 1 , 19.0 , 26.0 , 8 , 0 , 0 , 3 , 0 , 89.0 ,SPD+Smith
HMRKB Herath , 6 , 79 , 189 , 5 , 15.8 , 41.8 , 30 , 0 , 0 , 6 , 1 , 77.8 ,SPD+Smith
I Sharma , 14 , 176 , 364 , 1 , 176.0 , 48.4 , 37 , 0 , 0 , 20 , 0 , 75.3 ,SPD+Smith
Iftikhar Ahmed , 1 , 2 , 3 , 0 , - , 66.7 , 2 , 0 , 0 , 0 , 0 , 33.3 ,SPD+Smith
IJL Trott , 1 , 10 , 10 , 0 , - , 100.0 , 10 , 0 , 0 , 0 , 1 , 70.0 ,SPD+Smith
Imam-ul-Haq , 1 , 2 , 3 , 0 , - , 66.7 , 2 , 0 , 0 , 0 , 0 , 33.3 ,SPD+Smith
Imran Khan , 3 , 37 , 47 , 0 , - , 78.7 , 19 , 0 , 0 , 5 , 0 , 63.8 ,SPD+Smith
J Blackwood , 2 , 1 , 8 , 0 , - , 12.5 , 1 , 0 , 0 , 0 , 0 , 87.5 ,SPD+Smith
J Yadav , 2 , 20 , 36 , 0 , - , 55.6 , 16 , 0 , 0 , 1 , 0 , 58.3 ,SPD+Smith
JA Raval , 1 , 2 , 3 , 0 , - , 66.7 , 2 , 0 , 0 , 0 , 0 , 33.3 ,SPD+Smith
JA Warrican , 3 , 53 , 60 , 1 , 53.0 , 88.3 , 26 , 0 , 0 , 3 , 0 , 36.7 ,SPD+Smith
JC Archer , 5 , 94 , 164 , 0 , - , 57.3 , 37 , 0 , 0 , 15 , 0 , 73.8 ,SPD+Smith
JDF Vandersay , 1 , 3 , 5 , 0 , - , 60.0 , 3 , 0 , 0 , 0 , 0 , 40.0 ,SPD+Smith
JDS Neesham , 1 , 6 , 2 , 0 , - , 300.0 , 6 , 0 , 0 , 1 , 0 , 0.0 ,SPD+Smith
JE Root , 13 , 88 , 137 , 2 , 44.0 , 64.2 , 25 , 0 , 0 , 5 , 1 , 56.2 ,SPD+Smith
JE Taylor , 5 , 45 , 121 , 1 , 45.0 , 37.2 , 17 , 0 , 0 , 2 , 0 , 75.2 ,SPD+Smith
JJ Bumrah , 5 , 52 , 114 , 1 , 52.0 , 45.6 , 38 , 0 , 0 , 7 , 0 , 78.1 ,SPD+Smith
