Versus Player Type,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Key
-arm  , 1 , 2 , 3 , 0 , - , 66.7 , 2 , 0 , 0 , 0 , 0 , 33.3 ,SPD+Smith
Left-arm Chinaman , 6 , 119 , 192 , 0 , - , 62.0 , 26 , 0 , 0 , 13 , 0 , 64.6 ,SPD+Smith
Left-arm Fast , 9 , 188 , 304 , 2 , 94.0 , 61.8 , 66 , 1 , 0 , 23 , 0 , 70.1 ,SPD+Smith
Left-arm Medium , 32 , 431 , 844 , 10 , 43.1 , 51.1 , 87 , 1 , 0 , 55 , 1 , 75.8 ,SPD+Smith
Left-arm Orthodox , 67 ," 1,100 "," 2,339 ", 25 , 44.0 , 47.0 , 79 , 3 , 0 , 101 , 15 , 73.5 ,SPD+Smith
Right-arm Fast , 72 ," 1,232 "," 2,149 ", 21 , 58.7 , 57.3 , 90 , 6 , 0 , 162 , 4 , 72.2 ,SPD+Smith
Right-arm Legbreak , 30 , 502 , 843 , 10 , 50.2 , 59.5 , 50 , 1 , 0 , 46 , 5 , 67.5 ,SPD+Smith
Right-arm Medium , 130 ," 3,266 "," 6,234 ", 49 , 66.7 , 52.4 , 177 , 15 , 4 , 410 , 8 , 74.5 ,SPD+Smith
Right-arm Offbreak , 90 ," 1,703 "," 2,801 ", 19 , 89.6 , 60.8 , 90 , 9 , 0 , 133 , 15 , 62.6 ,SPD+Smith
Total,437,"8,543","15,709",136,62.8,54.4,177,36,4,943,48,71.4,SPD+Smith
Left-arm Chinaman , 3 , 108 , 133 , 2 , 54.0 , 81.2 , 75 , 1 , 0 , 7 , 0 , 40.6 ,V+Kohli
Left-arm Fast , 26 , 379 , 640 , 7 , 54.1 , 59.2 , 68 , 1 , 0 , 54 , 0 , 74.7 ,V+Kohli
Left-arm Medium , 27 , 379 , 657 , 8 , 47.4 , 57.7 , 47 , 0 , 0 , 53 , 0 , 72.6 ,V+Kohli
Left-arm Orthodox , 71 , 943 ," 1,825 ", 13 , 72.5 , 51.7 , 143 , 2 , 1 , 82 , 6 , 69.3 ,V+Kohli
Right-arm Fast , 69 , 996 ," 1,929 ", 29 , 34.3 , 51.6 , 102 , 2 , 1 , 130 , 2 , 75.4 ,V+Kohli
Right-arm Legbreak , 40 , 713 ," 1,097 ", 8 , 89.1 , 65.0 , 84 , 3 , 0 , 73 , 3 , 61.8 ,V+Kohli
Right-arm Medium , 145 ," 2,938 "," 5,537 ", 64 , 45.9 , 53.1 , 123 , 12 , 2 , 376 , 5 , 73.8 ,V+Kohli
Right-arm Offbreak , 100 ," 1,644 "," 2,791 ", 33 , 49.8 , 58.9 , 86 , 4 , 0 , 137 , 8 , 62.3 ,V+Kohli
Total,481,"8,100","14,609",164,49.4,55.4,143,25,4,912,24,70.0,V+Kohli
-arm  , 2 , 79 , 143 , 0 , - , 55.2 , 78 , 1 , 0 , 8 , 1 , 68.5 ,KS+Williamson
Left-arm Fast , 19 , 268 , 466 , 5 , 53.6 , 57.5 , 76 , 2 , 0 , 38 , 0 , 74.2 ,KS+Williamson
Left-arm Medium , 28 , 343 , 781 , 7 , 49.0 , 43.9 , 36 , 0 , 0 , 44 , 1 , 79.9 ,KS+Williamson
Left-arm Orthodox , 68 ," 1,247 "," 2,611 ", 18 , 69.3 , 47.8 , 92 , 5 , 0 , 127 , 6 , 74.3 ,KS+Williamson
Right-arm Fast , 73 ," 1,355 "," 2,588 ", 26 , 52.1 , 52.4 , 111 , 5 , 1 , 175 , 5 , 75.7 ,KS+Williamson
Right-arm Legbreak , 23 , 478 , 754 , 5 , 95.6 , 63.4 , 55 , 1 , 0 , 41 , 2 , 63.1 ,KS+Williamson
Right-arm Medium , 124 ," 2,598 "," 5,377 ", 58 , 44.8 , 48.3 , 150 , 11 , 3 , 309 , 2 , 76.0 ,KS+Williamson
Right-arm Offbreak , 78 ," 1,200 "," 2,053 ", 19 , 63.2 , 58.5 , 70 , 3 , 0 , 102 , 1 , 64.8 ,KS+Williamson
Total,415,"7,568","14,773",138,54.8,51.2,150,28,4,844,18,73.5,KS+Williamson
-arm  , 2 , 9 , 26 , 2 , 4.5 , 34.6 , 6 , 0 , 0 , 0 , 0 , 73.1 ,JE+Root
Left-arm Chinaman , 3 , 25 , 44 , 1 , 25.0 , 56.8 , 16 , 0 , 0 , 3 , 0 , 65.9 ,JE+Root
Left-arm Fast , 52 , 727 ," 1,436 ", 17 , 42.8 , 50.6 , 87 , 3 , 0 , 92 , 1 , 76.0 ,JE+Root
Left-arm Medium , 36 , 542 ," 1,180 ", 15 , 36.1 , 45.9 , 69 , 1 , 0 , 59 , 1 , 74.8 ,JE+Root
Left-arm Orthodox , 96 ," 1,697 "," 3,129 ", 26 , 65.3 , 54.2 , 107 , 7 , 1 , 167 , 4 , 68.6 ,JE+Root
Right-arm Fast , 130 ," 1,924 "," 3,462 ", 43 , 44.7 , 55.6 , 88 , 7 , 0 , 246 , 0 , 72.0 ,JE+Root
Right-arm Legbreak , 40 , 694 , 934 , 10 , 69.4 , 74.3 , 122 , 1 , 1 , 65 , 6 , 57.6 ,JE+Root
Right-arm Medium , 190 ," 3,320 "," 6,218 ", 70 , 47.4 , 53.4 , 138 , 12 , 3 , 411 , 6 , 73.2 ,JE+Root
Right-arm Offbreak , 114 ," 1,690 "," 2,648 ", 23 , 73.5 , 63.8 , 104 , 4 , 1 , 143 , 10 , 60.2 ,JE+Root
Total,663,"10,628","19,077",207,51.3,55.7,138,35,6,"1,186",28,70.0,JE+Root
