Versus Team,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Key
Bangladesh , 4 , 119 , 218 , 4 , 29.8 , 54.6 , 58 , 1 , 0 , 15 , 0 , 70.6 ,SPD+Smith
England , 56 ," 3,044 "," 5,576 ", 51 , 59.7 , 54.6 , 239 , 11 , 11 , 348 , 19 , 71.9 ,SPD+Smith
India , 28 ," 1,742 "," 3,163 ", 24 , 72.6 , 55.1 , 192 , 5 , 8 , 187 , 9 , 69.6 ,SPD+Smith
New Zealand , 14 , 757 ," 1,497 ", 13 , 58.2 , 50.6 , 138 , 5 , 2 , 90 , 3 , 74.5 ,SPD+Smith
Pakistan , 19 , 981 ," 1,862 ", 18 , 54.5 , 52.7 , 165 , 8 , 2 , 109 , 4 , 73.4 ,SPD+Smith
South Africa , 20 , 750 ," 1,427 ", 18 , 41.7 , 52.6 , 100 , 4 , 1 , 97 , 7 , 75.8 ,SPD+Smith
Sri Lanka , 9 , 398 , 765 , 8 , 49.8 , 52.0 , 145 , 1 , 2 , 35 , 1 , 68.0 ,SPD+Smith
West Indies , 11 , 752 ," 1,201 ", 5 , 150.4 , 62.6 , 200 , 2 , 3 , 62 , 5 , 64.3 ,SPD+Smith
Total,161,"8,543","15,709",141,60.6,54.4,239,37,29,943,48,71.4,SPD+Smith
Australia , 36 ," 1,682 "," 3,204 ", 35 , 48.1 , 52.5 , 169 , 5 , 7 , 190 , 5 , 73.0 ,V+Kohli
Bangladesh , 9 , 437 , 633 , 8 , 54.6 , 69.0 , 204 , 0 , 2 , 49 , 1 , 62.2 ,V+Kohli
England , 50 ," 1,976 "," 3,805 ", 47 , 42.0 , 51.9 , 235 , 9 , 5 , 233 , 2 , 72.3 ,V+Kohli
New Zealand , 21 , 866 ," 1,606 ", 19 , 45.6 , 53.9 , 211 , 3 , 3 , 105 , 3 , 72.2 ,V+Kohli
South Africa , 24 ," 1,236 "," 2,243 ", 22 , 56.2 , 55.1 , 254 , 4 , 3 , 159 , 4 , 72.1 ,V+Kohli
Sri Lanka , 18 ," 1,085 "," 1,589 ", 16 , 67.8 , 68.3 , 243 , 2 , 5 , 100 , 6 , 59.2 ,V+Kohli
West Indies , 19 , 818 ," 1,529 ", 19 , 43.1 , 53.5 , 200 , 5 , 2 , 76 , 3 , 67.4 ,V+Kohli
Total,177,"8,100","14,609",166,48.8,55.4,254,28,27,912,24,70.0,V+Kohli
Australia , 18 , 699 ," 1,208 ", 17 , 41.1 , 57.9 , 166 , 2 , 2 , 95 , 0 , 73.3 ,KS+Williamson
Bangladesh , 8 , 683 ," 1,020 ", 6 , 113.8 , 67.0 , 200 , 4 , 3 , 73 , 2 , 63.2 ,KS+Williamson
England , 25 , 853 ," 2,053 ", 23 , 37.1 , 41.5 , 132 , 4 , 3 , 105 , 1 , 79.6 ,KS+Williamson
India , 24 , 871 ," 1,997 ", 23 , 37.9 , 43.6 , 131 , 5 , 2 , 94 , 2 , 78.0 ,KS+Williamson
Pakistan , 23 ," 1,442 "," 2,669 ", 21 , 68.7 , 54.0 , 238 , 4 , 5 , 148 , 4 , 71.2 ,KS+Williamson
South Africa , 16 , 665 ," 1,370 ", 14 , 47.5 , 48.5 , 176 , 2 , 3 , 73 , 4 , 75.5 ,KS+Williamson
Sri Lanka , 18 , 992 ," 1,758 ", 15 , 66.1 , 56.4 , 242 , 5 , 3 , 96 , 1 , 68.3 ,KS+Williamson
West Indies , 17 , 970 ," 2,025 ", 16 , 60.6 , 47.9 , 251 , 4 , 3 , 121 , 3 , 76.2 ,KS+Williamson
Zimbabwe , 6 , 393 , 673 , 5 , 78.6 , 58.4 , 113 , 3 , 1 , 39 , 1 , 67.8 ,KS+Williamson
Total,155,"7,568","14,773",140,54.1,51.2,251,33,25,844,18,73.5,KS+Williamson
Australia , 56 ," 2,016 "," 4,274 ", 52 , 38.8 , 47.2 , 180 , 16 , 3 , 232 , 5 , 76.3 ,JE+Root
Bangladesh , 4 , 98 , 177 , 4 , 24.5 , 55.4 , 56 , 1 , 0 , 9 , 0 , 67.2 ,JE+Root
India , 45 ," 2,525 "," 4,517 ", 40 , 63.1 , 55.9 , 218 , 10 , 9 , 277 , 7 , 68.6 ,JE+Root
Ireland , 2 , 33 , 71 , 2 , 16.5 , 46.5 , 31 , 0 , 0 , 3 , 0 , 71.8 ,JE+Root
New Zealand , 30 ," 1,388 "," 2,646 ", 28 , 49.6 , 52.5 , 226 , 6 , 4 , 158 , 3 , 72.3 ,JE+Root
Pakistan , 26 ," 1,135 "," 1,889 ", 23 , 49.3 , 60.1 , 254 , 7 , 1 , 126 , 0 , 67.0 ,JE+Root
South Africa , 27 ," 1,210 "," 1,923 ", 26 , 46.5 , 62.9 , 190 , 9 , 2 , 156 , 4 , 68.9 ,JE+Root
Sri Lanka , 18 ," 1,001 "," 1,567 ", 17 , 58.9 , 63.9 , 228 , 1 , 4 , 89 , 3 , 61.2 ,JE+Root
West Indies , 25 ," 1,222 "," 2,013 ", 23 , 53.1 , 60.7 , 182 , 5 , 5 , 136 , 6 , 67.5 ,JE+Root
Total,233,"10,628","19,077",215,49.4,55.7,254,55,28,"1,186",28,70.0,JE+Root
