Venue Country,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Key
Australia , 80 ," 4,283 "," 7,755 ", 67 , 63.9 , 55.2 , 239 , 17 , 15 , 465 , 18 , 71.2 ,SPD+Smith
Bangladesh , 4 , 119 , 218 , 4 , 29.8 , 54.6 , 58 , 1 , 0 , 15 , 0 , 70.6 ,SPD+Smith
England , 30 ," 1,727 "," 2,812 ", 29 , 59.6 , 61.4 , 215 , 7 , 6 , 208 , 15 , 69.4 ,SPD+Smith
India , 12 , 660 ," 1,416 ", 11 , 60.0 , 46.6 , 178 , 1 , 3 , 66 , 3 , 71.7 ,SPD+Smith
New Zealand , 3 , 262 , 399 , 2 , 131.0 , 65.7 , 138 , 2 , 1 , 31 , 2 , 69.7 ,SPD+Smith
Pakistan , 4 , 226 , 606 , 4 , 56.5 , 37.3 , 78 , 3 , 0 , 22 , 0 , 76.9 ,SPD+Smith
South Africa , 11 , 411 , 771 , 10 , 41.1 , 53.3 , 100 , 2 , 1 , 55 , 5 , 75.5 ,SPD+Smith
Sri Lanka , 9 , 398 , 765 , 8 , 49.8 , 52.0 , 145 , 1 , 2 , 35 , 1 , 68.0 ,SPD+Smith
U.A.E. , 4 , 174 , 429 , 4 , 43.5 , 40.6 , 97 , 2 , 0 , 18 , 0 , 80.0 ,SPD+Smith
West Indies , 4 , 283 , 538 , 2 , 141.5 , 52.6 , 199 , 1 , 1 , 28 , 4 , 71.7 ,SPD+Smith
Total,161,"8,543","15,709",141,60.6,54.4,239,37,29,943,48,71.4,SPD+Smith
None , 2 , 36 , 88 , 0 , - , 40.9 , 36 , 0 , 0 , 1 , 1 , 71.6 ,V+Kohli
Australia , 25 ," 1,352 "," 2,544 ", 25 , 54.1 , 53.1 , 169 , 4 , 6 , 151 , 3 , 72.8 ,V+Kohli
Bangladesh , 5 , 59 , 151 , 4 , 14.8 , 39.1 , 24 , 0 , 0 , 5 , 0 , 72.8 ,V+Kohli
England , 31 ," 1,018 "," 1,983 ", 31 , 32.8 , 51.3 , 134 , 5 , 2 , 118 , 1 , 73.8 ,V+Kohli
India , 69 ," 3,811 "," 6,352 ", 61 , 62.5 , 60.0 , 254 , 12 , 13 , 425 , 13 , 66.2 ,V+Kohli
New Zealand , 8 , 252 , 438 , 7 , 36.0 , 57.5 , 105 , 1 , 1 , 38 , 1 , 75.6 ,V+Kohli
South Africa , 14 , 719 ," 1,433 ", 14 , 51.4 , 50.2 , 153 , 3 , 2 , 92 , 1 , 74.7 ,V+Kohli
Sri Lanka , 10 , 394 , 707 , 9 , 43.8 , 55.7 , 103 , 1 , 2 , 34 , 2 , 68.0 ,V+Kohli
West Indies , 13 , 459 , 913 , 13 , 35.3 , 50.3 , 200 , 2 , 1 , 48 , 2 , 71.6 ,V+Kohli
Total,177,"8,100","14,609",164,49.4,55.4,254,28,27,912,24,70.0,V+Kohli
None , 2 , 58 , 78 , 0 , - , 74.4 , 30 , 0 , 0 , 6 , 0 , 62.8 ,KS+Williamson
Australia , 14 , 557 , 867 , 13 , 42.8 , 64.2 , 166 , 1 , 2 , 80 , 0 , 70.8 ,KS+Williamson
Bangladesh , 3 , 250 , 511 , 3 , 83.3 , 48.9 , 114 , 2 , 1 , 20 , 1 , 71.0 ,KS+Williamson
England , 16 , 458 ," 1,171 ", 15 , 30.5 , 39.1 , 132 , 2 , 1 , 58 , 0 , 81.2 ,KS+Williamson
India , 15 , 503 ," 1,251 ", 15 , 33.5 , 40.2 , 131 , 3 , 1 , 51 , 0 , 78.3 ,KS+Williamson
New Zealand , 66 ," 3,788 "," 6,937 ", 58 , 65.3 , 54.6 , 251 , 18 , 13 , 428 , 13 , 72.3 ,KS+Williamson
Pakistan , 1 , 200 , 395 , 0 , - , 50.6 , 200 , 0 , 1 , 21 , 1 , 70.9 ,KS+Williamson
South Africa , 7 , 127 , 262 , 6 , 21.2 , 48.5 , 77 , 1 , 0 , 15 , 1 , 76.3 ,KS+Williamson
Sri Lanka , 7 , 187 , 440 , 7 , 26.7 , 42.5 , 135 , 0 , 1 , 15 , 0 , 74.1 ,KS+Williamson
U.A.E. , 9 , 589 ," 1,067 ", 9 , 65.4 , 55.2 , 192 , 2 , 2 , 57 , 1 , 70.3 ,KS+Williamson
West Indies , 10 , 462 ," 1,129 ", 9 , 51.3 , 40.9 , 161 , 1 , 2 , 54 , 0 , 77.9 ,KS+Williamson
Zimbabwe , 5 , 389 , 665 , 4 , 97.2 , 58.5 , 113 , 3 , 1 , 39 , 1 , 67.8 ,KS+Williamson
Total,155,"7,568","14,773",139,54.4,51.2,251,33,25,844,18,73.5,KS+Williamson
None , 2 , 15 , 68 , 0 , - , 22.1 , 11 , 0 , 0 , 2 , 0 , 89.7 ,JE+Root
Australia , 27 , 892 ," 2,015 ", 25 , 35.7 , 44.3 , 89 , 9 , 0 , 91 , 0 , 76.2 ,JE+Root
Bangladesh , 4 , 98 , 177 , 4 , 24.5 , 55.4 , 56 , 1 , 0 , 9 , 0 , 67.2 ,JE+Root
England , 115 ," 5,608 "," 9,608 ", 103 , 54.4 , 58.4 , 254 , 26 , 17 , 682 , 12 , 70.1 ,JE+Root
India , 20 , 952 ," 1,862 ", 19 , 50.1 , 51.1 , 218 , 5 , 2 , 92 , 4 , 69.6 ,JE+Root
New Zealand , 12 , 469 ," 1,130 ", 12 , 39.1 , 41.5 , 226 , 2 , 1 , 46 , 1 , 76.0 ,JE+Root
Pakistan , 5 , 125 , 147 , 5 , 25.0 , 85.0 , 73 , 1 , 0 , 11 , 0 , 51.0 ,JE+Root
South Africa , 15 , 703 ," 1,156 ", 14 , 50.2 , 60.8 , 110 , 6 , 1 , 89 , 3 , 69.0 ,JE+Root
Sri Lana , 2 , 138 , 169 , 2 , 69.0 , 81.7 , 124 , 0 , 1 , 12 , 2 , 50.9 ,JE+Root
Sri Lanka , 8 , 517 , 802 , 8 , 64.6 , 64.5 , 228 , 0 , 2 , 46 , 1 , 58.9 ,JE+Root
U.A.E. , 6 , 287 , 527 , 5 , 57.4 , 54.5 , 88 , 3 , 0 , 26 , 0 , 68.5 ,JE+Root
West Indies , 17 , 824 ," 1,416 ", 16 , 51.5 , 58.2 , 182 , 2 , 4 , 80 , 5 , 67.3 ,JE+Root
Total,233,"10,628","19,077",213,49.9,55.7,254,55,28,"1,186",28,70.0,JE+Root
