Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Key
2010 , 8 , 187 , 313 , 8 , 23.4 , 59.7 , 77 , 1 , 0 , 20 , 2 , 72.8 ,SPD+Smith
2011 , 2 , 72 , 143 , 1 , 72.0 , 50.3 , 54 , 1 , 0 , 7 , 0 , 74.1 ,SPD+Smith
2013 , 21 , 711 ," 1,550 ", 19 , 37.4 , 45.9 , 138 , 3 , 2 , 75 , 10 , 76.3 ,SPD+Smith
2014 , 17 ," 1,146 "," 1,913 ", 14 , 81.9 , 59.9 , 192 , 4 , 5 , 134 , 8 , 70.5 ,SPD+Smith
2015 , 24 ," 1,474 "," 2,374 ", 20 , 73.7 , 62.1 , 215 , 5 , 6 , 169 , 8 , 68.0 ,SPD+Smith
2016 , 18 ," 1,079 "," 1,837 ", 15 , 71.9 , 58.7 , 165 , 5 , 4 , 121 , 5 , 71.0 ,SPD+Smith
2017 , 20 ," 1,305 "," 2,573 ", 17 , 76.8 , 50.7 , 239 , 3 , 6 , 140 , 2 , 70.6 ,SPD+Smith
2018 , 7 , 225 , 468 , 7 , 32.1 , 48.1 , 83 , 2 , 0 , 24 , 2 , 75.6 ,SPD+Smith
2019 , 13 , 965 ," 1,715 ", 13 , 74.2 , 56.3 , 211 , 4 , 3 , 114 , 6 , 71.0 ,SPD+Smith
2020 , 5 , 73 , 250 , 4 , 18.2 , 29.2 , 63 , 1 , 0 , 4 , 0 , 80.0 ,SPD+Smith
2021 , 8 , 430 , 826 , 8 , 53.8 , 52.1 , 131 , 3 , 1 , 52 , 2 , 74.3 ,SPD+Smith
2022 , 18 , 876 ," 1,747 ", 15 , 58.4 , 50.1 , 200 , 5 , 2 , 83 , 3 , 70.5 ,SPD+Smith
Total,161,"8,543","15,709",141,60.6,54.4,239,37,29,943,48,71.4,SPD+Smith
2011 , 9 , 202 , 473 , 9 , 22.4 , 42.7 , 63 , 2 , 0 , 15 , 2 , 72.1 ,V+Kohli
2012 , 16 , 689 ," 1,474 ", 14 , 49.2 , 46.7 , 116 , 3 , 3 , 89 , 2 , 77.9 ,V+Kohli
2013 , 12 , 616 ," 1,127 ", 11 , 56.0 , 54.7 , 119 , 3 , 2 , 73 , 2 , 70.9 ,V+Kohli
